v1,v2,v3
0.708,0.028,0.756
0.724,0.02,0.76
0.708,0.012,0.772
0.708,0.02,0.764
0.704,0.028,0.772
0.712,0.028,0.768
0.712,0.016,0.772
0.704,0.016,0.772
0.712,0.04,0.752
0.708,0.052,0.756
0.696,0.032,0.764
0.684,0.02,0.756
0.688,0.032,0.768
0.672,0.024,0.764
0.664,0.012,0.744
0.692,0.032,0.752
0.676,0.024,0.756
0.664,0.008,0.764
0.668,0.024,0.752
0.676,0.052,0.736
0.668,0.052,0.736
0.644,0.02,0.748
0.632,0.028,0.736
0.64,0.052,0.74
0.62,0.036,0.752
0.624,0.032,0.748
0.62,0.02,0.764
0.588,0.004,0.78
0.576,0.008,0.78
0.608,0.024,0.776
0.588,0.048,0.788
0.556,0.044,0.784
0.576,0.068,0.788
0.556,0.056,0.812
0.528,0.06,0.816
0.524,0.084,0.836
0.52,0.084,0.844
0.476,0.068,0.844
0.436,0.056,0.836
0.436,0.096,0.836
0.444,0.124,0.844
0.424,0.104,0.844
0.412,0.088,0.872
0.396,0.072,0.9
0.372,0.104,0.892
0.356,0.128,0.884
0.36,0.14,0.912
0.336,0.124,0.944
0.296,0.124,0.94
0.256,0.136,0.948
0.268,0.148,0.952
0.268,0.216,0.972
0.24,0.204,0.976
0.192,0.184,0.992
0.184,0.168,0.988
0.152,0.16,0.984
0.144,0.196,0.964
0.156,0.236,0.976
0.124,0.24,1.004
0.044,0.22,1.012
0.048,0.232,1.004
0.048,0.252,1.004
0.028,0.26,1.008
-0.048,0.252,1.024
-0.064,0.264,0.992
-0.076,0.28,0.948
-0.092,0.264,0.964
-0.1,0.252,0.992
-0.104,0.26,0.988
-0.144,0.296,0.98
-0.204,0.292,0.98
-0.22,0.26,0.98
-0.224,0.276,0.976
-0.248,0.324,0.972
-0.3,0.32,0.952
-0.308,0.316,0.932
-0.284,0.34,0.936
-0.316,0.312,0.952
-0.348,0.28,0.952
-0.372,0.26,0.944
-0.38,0.296,0.928
-0.416,0.332,0.92
-0.456,0.352,0.888
-0.472,0.3,0.872
-0.492,0.308,0.824
-0.488,0.32,0.82
-0.508,0.336,0.816
-0.524,0.324,0.812
-0.532,0.312,0.788
-0.56,0.296,0.768
-0.592,0.288,0.752
-0.632,0.304,0.76
-0.66,0.348,0.792
-0.676,0.356,0.784
-0.688,0.344,0.748
-0.748,0.284,0.724
-0.732,0.312,0.748
-0.744,0.344,0.716
-0.728,0.376,0.704
-0.74,0.32,0.704
-0.74,0.288,0.684
-0.736,0.304,0.664
-0.724,0.328,0.664
-0.752,0.332,0.656
-0.748,0.324,0.644
-0.752,0.328,0.624
-0.756,0.34,0.608
-0.756,0.352,0.6
-0.772,0.312,0.596
-0.78,0.304,0.584
-0.792,0.312,0.552
-0.772,0.324,0.54
-0.78,0.332,0.536
-0.788,0.312,0.536
-0.816,0.296,0.528
-0.828,0.272,0.524
-0.8,0.288,0.516
-0.796,0.328,0.5
-0.824,0.296,0.5
-0.84,0.32,0.508
-0.816,0.336,0.488
-0.824,0.332,0.476
-0.832,0.32,0.472
-0.816,0.296,0.46
-0.824,0.284,0.468
-0.828,0.28,0.468
-0.836,0.304,0.452
-0.84,0.308,0.452
-0.832,0.288,0.444
-0.832,0.26,0.464
-0.836,0.28,0.46
-0.84,0.292,0.46
-0.848,0.26,0.472
-0.86,0.256,0.484
-0.868,0.272,0.484
-0.856,0.28,0.46
-0.848,0.292,0.428
-0.844,0.28,0.416
-0.852,0.284,0.408
-0.86,0.288,0.4
-0.86,0.288,0.4
-0.86,0.288,0.4
-0.86,0.276,0.404
-0.868,0.276,0.408
-0.86,0.292,0.4
-0.828,0.3,0.388
-0.856,0.28,0.408
-0.86,0.272,0.412
